c_personid,Rank,Friend,Enemy,Lindex,c_index_year,c_birthyear,c_deathyear,c_death_age,c_fl_earliest_year,c_fl_ey_nh_code,c_fl_latest_year,c_choronym_code,LU,c_entry_code,Longitude,Latitude,RankD,Rank9
11499,8.5,82.86607817,0,1228,1228,1169,1229,61,0,0,0,0,13867,118,119.011101,25.433954,17,8
49713,9,0,0,1101,1101,0,1101,0,0,0,0,0,11203,0,116.2825623,35.95607376,18,9
21998,3,0,83.60564792,1217,1217,0,0,0,1187,544,1225,0,12753,36,121.258354,28.642613,6,3
48164,4,71.20359751,0,994,994,935,999,65,0,0,0,0,0,0,114.34333,34.785477,8,4
22431,4,72.9369635,0,1090,1090,1041,1090,50,0,0,0,19,11027,74,114.34333,34.785477,8,4
914,4.5,27.64467714,0,985,985,936,985,50,0,0,0,42,11901,96,110.617546,34.859409,9,4
44006,6.5,0,0,1012,1012,0,0,0,0,0,1012,0,0,0,0,0,13,6
45219,4,0,0,1068,1068,0,0,0,0,0,1068,0,0,0,0,0,8,4
96861,5.5,0,0,947,0,0,0,0,977,0,979,0,0,0,0,0,11,5
7310,4.5,86.27274105,0,1185,1185,1126,1189,64,0,0,0,0,12753,118,119.649918,29.104712,9,4
422442,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
48572,8.5,83.60065159,0,1246,1246,0,0,0,0,0,1256,0,13867,0,117.653053,24.511744,17,8
12101,6.5,39.75531286,0,1045,1045,0,0,0,0,0,0,61,12907,36,116.351341,27.984781,13,6
46280,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4
7093,1,73.69814043,0,1005,1005,946,1014,69,0,0,0,58,11703,77,114.070267,35.410385,2,1
425497,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
45203,9,70.64256323,0,1275,1275,0,0,0,1266,558,1275,0,12824,165,116.681953,28.691545,18,9
404816,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8
15446,8,0,0,1181,1181,0,0,0,0,0,0,83,12824,36,117.236359,29.382742,16,8
38409,9,0,0,1100,1100,0,0,0,1070,528,0,0,13867,29,118.802818,25.022078,18,9
7127,3,79.99195621,0,1121,1121,1069,1121,53,0,0,0,45,13867,36,119.321577,26.073954,6,3
431183,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
1309,1.5,81.55582876,701.4256664,1091,1091,1032,1111,80,0,0,0,0,13867,165,118.589905,24.909641,3,1
22838,8,0,0,1127,1127,0,0,0,1109,535,1127,0,13867,36,119.54493,26.490908,16,8
50249,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5
